"","fortnight","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 08",0.335568513119534,0.465,0.81865889212828,0.4299125,0.216225,0.18482475765625,0.323803120673128,0.277905367727783,0.122209167663203,0.162462829368946
"2","2020 / 09",0.273400191021967,0.461428571428571,0.778892072588348,0.472755714285714,0.212916326530612,0.223497965389796,0.319756782252788,0.275068771294208,0.142134505184872,0.150588710191858
"3","2020 / 10",0.378324468085106,0.594285714285714,0.681914893617021,0.605848571428572,0.353175510204082,0.367052491502041,0.470280571489433,0.433765922010676,0.204032757790512,0.171497600347795
"4","2020 / 11",0.761265580057526,0.647857142857143,1.2215636712281,0.720612857142857,0.41971887755102,0.519282889879592,0.530975647794532,0.528675605052499,0.257406837359815,0.259736592134988
"5","2020 / 12",1.36897623806351,0.732857142857143,1.2051965356429,0.771322857142857,0.537079591836735,0.59493894995102,0.627278502198622,0.715730189437254,0.280990825689578,0.319437585590915
"6","2020 / 13",1.28574635241302,0.785714285714286,1.38451178451178,0.872979285714286,0.61734693877551,0.762092833286225,0.687164310819652,0.85460840017369,0.328268759530517,0.477348593596403
"7","2020 / 14",1.32844147968466,0.752857142857143,1.82838083687083,0.889887142857143,0.56679387755102,0.791899127022449,0.649937997352525,0.766244293503386,0.336132192887615,0.508560918161602
"8","2020 / 15",1.45410628019324,0.652857142857143,1.81270903010033,0.837742142857143,0.426222448979592,0.701811897918878,0.536640521583008,0.538440480530759,0.311880820940159,0.416835201332223
"9","2020 / 16",0.720049403046521,0.650714285714286,1.40510498147386,0.8151,0.423429081632653,0.66438801,0.534212718530804,0.534236579784445,0.30135051068767,0.381186092734692
"10","2020 / 17",1.01481481481481,0.677857142857143,1.01481481481481,0.813674285714286,0.459490306122449,0.662065843232653,0.564964890525387,0.589586736736876,0.300687445629972,0.379026060109735
"11","2020 / 26",0.646408839779006,0.615714285714286,0.822678242567745,0.719617142857143,0.379104081632653,0.517848832293878,0.494558602011472,0.469597457540329,0.256943754849579,0.2586914108219
"12","2020 / 27",0.706923076923077,0.37,0.856923076923077,0.8105325,0.1369,0.65696293355625,0.216170518692086,0.229341470583416,0.299226277465501,0.374301507956729
"13","2021 / 01",0.942635846544838,0.755714285714286,0.965266852232845,0.698007142857143,0.571104081632653,0.487213971479592,0.653175068088797,0.773662771287186,0.246893469150384,0.237213587117852
"14","2021 / 02",1.171392476137,0.749285714285714,0.786777091521617,0.69564,0.561429081632653,0.4839150096,0.645891658932185,0.757042274196541,0.245792568548575,0.235001013581266
"15","2021 / 03",0.991983967935872,0.733571428571429,0.926519706078824,0.718476428571429,0.538127040816326,0.516208378412755,0.628087769882689,0.717491617828731,0.256413236364036,0.257500041158805
"16","2021 / 04",1.22286465177398,0.74,0.96084099868594,0.794904285714286,0.5476,0.631872823446939,0.635371179039301,0.733486629197834,0.29195797489541,0.351524161792751
"17","2021 / 05",0.944491169049621,0.804285714285714,0.911690496215307,0.793471428571429,0.646875510204082,0.629596907959184,0.70820527060542,0.907510171623562,0.291291587868485,0.349496182514854
