"","fortnight","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 08",0.386484687083888,0.6625,0.852529960053262,0.6181525,0.43890625,0.38211251325625,0.547565635317925,0.55770986960754,0.209755015882384,0.177846114108172
"2","2020 / 09",0.605971206042011,0.599285714285714,0.864644795846118,0.658587857142857,0.359143367346939,0.43373796557602,0.475945445277909,0.441872312621211,0.22856051757765,0.203973334059279
"3","2020 / 10",0.400290544109878,0.677857142857143,0.833993660855784,0.706207142857143,0.459490306122449,0.498728528622449,0.564964890525387,0.589586736736876,0.250707089822915,0.245092019427634
"4","2020 / 11",0.929399955387017,0.708571428571429,1.51416462190497,0.761205,0.502073469387755,0.579433052025,0.59976340094031,0.65772124031044,0.276285256279613,0.306512089599082
"5","2020 / 12",1.5940287638813,0.766428571428571,1.56972510467868,0.793091428571429,0.587412755102041,0.628994014073469,0.665314083349817,0.801932223154814,0.291114859105612,0.348960053850871
"6","2020 / 13",1.3694249108949,0.813571428571429,1.70725363645121,0.855238571428571,0.661898469387755,0.731433014059184,0.718725750498304,0.934761868613201,0.320017984561557,0.44611599897183
"7","2020 / 14",1.65976275654302,0.792142857142857,1.5301261532668,0.864052857142857,0.627490306122449,0.746587339936735,0.694447719976264,0.872678886891546,0.324117294587606,0.461439380782558
"8","2020 / 15",1.17738970588235,0.727857142857143,1.34773284313726,0.893807857142857,0.529776020408163,0.798892485490306,0.621613628410146,0.70348864322319,0.337955621796285,0.51600021796803
"9","2020 / 16",1.06343591557599,0.647857142857143,1.37224383916991,0.870482142857143,0.41971887755102,0.757739161033164,0.530975647794532,0.528675605052499,0.327107399088778,0.472858409573957
"10","2020 / 17",2.24305555555556,0.695,1.45833333333333,0.856199285714286,0.483025,0.733077216857653,0.584387314943019,0.626895040585546,0.320464789422581,0.447767550099868
"11","2020 / 26",1.28942486085343,0.611428571428571,1.5291280148423,0.603621428571429,0.373844897959184,0.364358829030612,0.489702995907064,0.462203701081111,0.202996967785551,0.170428330525263
"12","2020 / 27",1.45516419942147,0.3775,1.579887697805,0.6771975,0.14250625,0.45859645400625,0.2246678293748,0.23114381850027,0.237215410103068,0.218710035643807
"13","2021 / 01",1.16199505358615,0.695,1.01456444078043,0.582460714285714,0.483025,0.339260483686225,0.584387314943018,0.626895040585546,0.193155633950731,0.161490437928678
"14","2021 / 02",1.06729758149317,0.701428571428572,1.00175254118472,0.587465714285714,0.492002040816327,0.345115965461224,0.591670724099631,0.641354768819955,0.19548333778805,0.163404876470395
"15","2021 / 03",0.807530677424777,0.678571428571429,0.914775592536561,0.594605,0.46045918367347,0.353555106025,0.565774158209455,0.591104920681087,0.19880364603038,0.166349690784993
"16","2021 / 04",0.850166699352814,0.72,0.883310453030006,0.683165,0.5184,0.466714417225,0.612711683885398,0.684564670604717,0.239990749293718,0.223797613392012
"17","2021 / 05",1.05437352245863,0.778571428571429,0.887470449172577,0.688157857142857,0.606173469387755,0.473561236347449,0.679071633978972,0.834830188383881,0.242312805783351,0.228189332577617
"18","2021 / 06",0.690844616376531,0.790714285714286,1.11960025789813,0.721007142857143,0.625229081632653,0.519851300051021,0.692829184608128,0.868641110044897,0.257590210061142,0.260151818678339
"19","2021 / 07",0.75054704595186,0.71,1.16411378555799,0.800906666666667,0.5041,0.641451488711111,0.601381936308446,0.661032442834086,0.294749536369118,0.360129724020327
