"","week","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 16",0.319396744811109,0.4,0.610721218456025,0.3990725,0.16,0.15925886025625,0.238577058259666,0.240938659806484,0.106858908932197,0.179707592410347
"2","2020 / 17",0.292486508924865,0.385714285714286,0.577916147779161,0.434188571428571,0.148775510204082,0.188519715559184,0.222083008055955,0.237474915533776,0.123725788642712,0.163139012227761
"3","2020 / 18",0.296888504753673,0.397142857142857,0.562085854220686,0.42657,0.157722448979592,0.1819619649,0.235278248218923,0.240138171058587,0.120066451973658,0.166200914494654
"4","2020 / 20",0.625377643504532,0.445714285714286,0.523867069486405,0.487528571428571,0.198661224489796,0.237684107959184,0.291358018911539,0.261072792520992,0.149345948505663,0.14997000546465
"5","2020 / 21",0.691635561588056,0.47,0.606633864947404,0.523714285714286,0.2209,0.274276653061225,0.319397904257847,0.277378258723383,0.166726596888773,0.149274054750754
"6","2020 / 22",0.735172530161141,0.478571428571429,0.639416181557412,0.558957142857143,0.229030612244898,0.312433087551021,0.329294334380073,0.284062385727946,0.183654374054637,0.154997608558553
"7","2020 / 23",0.785898316729646,0.53,0.586739951906561,0.55086,0.2809,0.3034467396,0.388672915113431,0.334348567677397,0.179765170934405,0.153123669249283
"8","2020 / 24",0.700475705062861,0.568571428571429,0.582738702004757,0.560855714285714,0.323273469387755,0.314559132246939,0.433206850663449,0.383517301551818,0.184566292005729,0.155485257208184
"9","2020 / 25",0.706359591729914,0.591428571428572,0.611096571578121,0.613222857142857,0.349787755102041,0.376042272522449,0.459597330989386,0.417287144447233,0.209719171112703,0.176162045944016
"10","2020 / 26",0.795966144426436,0.585714285714286,0.658743021790023,0.632747142857143,0.343061224489796,0.400368946793878,0.452999710907901,0.408521464043313,0.21909703615226,0.187440362184583
"11","2020 / 27",0.848427613561243,0.611428571428572,0.619321937860043,0.641798571428571,0.373844897959184,0.411905406287755,0.48268900127458,0.449663929181297,0.223444599837826,0.193326696771492
"12","2020 / 28",0.914702920443102,0.628571428571429,0.636757301107754,0.687055714285714,0.395102040816327,0.472045554532653,0.502481861519033,0.479516386873781,0.245182418265656,0.229008447481806
"13","2020 / 29",0.784510789240319,0.635714285714286,0.761306532663317,0.708455714285714,0.404132653061225,0.501909499104082,0.510728886620888,0.492527279095765,0.255461222560128,0.249508047098014
"14","2020 / 30",0.881240670094543,0.63,0.852048432575883,0.722732857142857,0.3969,0.522342782793878,0.504131266539404,0.482091630344839,0.262318790658857,0.264479755158477
"15","2020 / 31",0.915088343714249,0.62,0.84975212914707,0.742261428571429,0.3844,0.550952028344898,0.492585431396806,0.46434774326749,0.271698714203947,0.286637134543915
