"","part_social_group","weekend","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"1","A - Upper middle class",FALSE,"2020 / 13","18-29",5,1425,0.00350877192982456,401.83808,0.000120749812616196,80.367616,0.0344136965956157
"2","A - Upper middle class",FALSE,"2020 / 13","30-39",12,1425,0.00842105263157895,371.80096,0.000111723847203634,30.9834133333333,0.0132672068554315
"3","A - Upper middle class",FALSE,"2020 / 13","40-49",11,1425,0.00771929824561404,344.17004,0.000103420929738935,31.2881854545455,0.0133977113525439
"4","A - Upper middle class",FALSE,"2020 / 13","50-59",8,1425,0.0056140350877193,366.9386,0.000110262738642513,45.867325,0.0196405503206976
"5","A - Upper middle class",FALSE,"2020 / 13","60-69",5,1425,0.00350877192982456,291.47108,8.75852241107666e-05,58.294216,0.0249617888715685
"6","A - Upper middle class",FALSE,"2020 / 13","70-120",3,1425,0.00210526315789474,371.25004,0.000111558299212845,123.750013333333,0.0529901921261013
"7","A - Upper middle class",FALSE,"2020 / 14","18-29",3,1564,0.00191815856777494,401.83808,0.000120749812616196,133.946026666667,0.0629509023105766
"8","A - Upper middle class",FALSE,"2020 / 14","30-39",5,1564,0.00319693094629156,371.80096,0.000111723847203634,74.360192,0.0349472194052967
"9","A - Upper middle class",FALSE,"2020 / 14","40-49",5,1564,0.00319693094629156,344.17004,0.000103420929738935,68.834008,0.0323500668223389
"10","A - Upper middle class",FALSE,"2020 / 14","50-59",5,1564,0.00319693094629156,366.9386,0.000110262738642513,73.38772,0.034490184647378
"11","A - Upper middle class",FALSE,"2020 / 14","60-69",8,1564,0.0051150895140665,291.47108,8.75852241107666e-05,36.433885,0.0171229113136549
"12","A - Upper middle class",FALSE,"2020 / 14","70-120",3,1564,0.00191815856777494,371.25004,0.000111558299212845,123.750013333333,0.0581590599896298
"13","A - Upper middle class",FALSE,"2020 / 15","18-29",9,1687,0.00533491404860699,401.83808,0.000120749812616196,44.6486755555556,0.0226338815426135
"14","A - Upper middle class",FALSE,"2020 / 15","30-39",20,1687,0.01185536455246,371.80096,0.000111723847203634,18.590048,0.00942390651162652
"15","A - Upper middle class",FALSE,"2020 / 15","40-49",18,1687,0.010669828097214,344.17004,0.000103420929738935,19.1205577777778,0.0096928393594213
"16","A - Upper middle class",FALSE,"2020 / 15","50-59",12,1687,0.00711321873147599,366.9386,0.000110262738642513,30.5782166666667,0.0155011033408266
"17","A - Upper middle class",FALSE,"2020 / 15","60-69",19,1687,0.011262596324837,291.47108,8.75852241107666e-05,15.3405831578947,0.00777664595130859
"18","A - Upper middle class",FALSE,"2020 / 15","70-120",23,1687,0.013633669235329,371.25004,0.000111558299212845,16.1413060869565,0.00818255872922041
"19","A - Upper middle class",FALSE,"2020 / 16","18-29",5,1068,0.00468164794007491,401.83808,0.000120749812616196,80.367616,0.0257921599748194
"20","A - Upper middle class",FALSE,"2020 / 16","30-39",6,1068,0.00561797752808989,371.80096,0.000111723847203634,61.9668266666667,0.0198868448022468
"21","A - Upper middle class",FALSE,"2020 / 16","40-49",8,1068,0.00749063670411985,344.17004,0.000103420929738935,43.021255,0.0138066941201478
"22","A - Upper middle class",FALSE,"2020 / 16","50-59",10,1068,0.00936329588014981,366.9386,0.000110262738642513,36.69386,0.0117760604870204
"23","A - Upper middle class",FALSE,"2020 / 16","60-69",8,1068,0.00749063670411985,291.47108,8.75852241107666e-05,36.433885,0.0116926274187873
"24","A - Upper middle class",FALSE,"2020 / 16","70-120",19,1068,0.0177902621722846,371.25004,0.000111558299212845,19.5394757894737,0.00627075071364834
"25","A - Upper middle class",FALSE,"2020 / 17","18-29",5,1428,0.00350140056022409,401.83808,0.000120749812616196,80.367616,0.0344861464831855
"26","A - Upper middle class",FALSE,"2020 / 17","30-39",9,1428,0.00630252100840336,371.80096,0.000111723847203634,41.3112177777778,0.0177268504229766
"27","A - Upper middle class",FALSE,"2020 / 17","40-49",13,1428,0.00910364145658263,344.17004,0.000103420929738935,26.4746184615385,0.0113603913590153
"28","A - Upper middle class",FALSE,"2020 / 17","50-59",6,1428,0.00420168067226891,366.9386,0.000110262738642513,61.1564333333333,0.026242531796918
"29","A - Upper middle class",FALSE,"2020 / 17","60-69",10,1428,0.00700280112044818,291.47108,8.75852241107666e-05,29.147108,0.0125071700030175
"30","A - Upper middle class",FALSE,"2020 / 17","70-120",5,1428,0.00350140056022409,371.25004,0.000111558299212845,74.250008,0.0318610502551885
"31","A - Upper middle class",FALSE,"2020 / 20","30-39",7,1047,0.00668576886341929,371.80096,0.000111723847203634,53.1144228571429,0.0167106954317435
"32","A - Upper middle class",FALSE,"2020 / 20","40-49",9,1047,0.00859598853868195,344.17004,0.000103420929738935,38.2411155555556,0.0120313014929628
"33","A - Upper middle class",FALSE,"2020 / 20","50-59",3,1047,0.00286532951289398,366.9386,0.000110262738642513,122.312866666667,0.038481695786237
"34","A - Upper middle class",FALSE,"2020 / 20","60-69",11,1047,0.0105062082139446,291.47108,8.75852241107666e-05,26.4973709090909,0.00833652087672478
"35","A - Upper middle class",FALSE,"2020 / 20","70-120",18,1047,0.0171919770773639,371.25004,0.000111558299212845,20.6250022222222,0.00648897440421381
"36","A - Upper middle class",FALSE,"2020 / 21","18-29",6,1430,0.0041958041958042,401.83808,0.000120749812616196,66.9730133333333,0.0287787053401933
"37","A - Upper middle class",FALSE,"2020 / 21","30-39",11,1430,0.00769230769230769,371.80096,0.000111723847203634,33.8000872727273,0.0145241001364724
"38","A - Upper middle class",FALSE,"2020 / 21","40-49",13,1430,0.00909090909090909,344.17004,0.000103420929738935,26.4746184615385,0.0113763022712828
"39","A - Upper middle class",FALSE,"2020 / 21","50-59",8,1430,0.00559440559440559,366.9386,0.000110262738642513,45.867325,0.0197094645323492
"40","A - Upper middle class",FALSE,"2020 / 21","60-69",11,1430,0.00769230769230769,291.47108,8.75852241107666e-05,26.4973709090909,0.0113860791343997
"41","A - Upper middle class",FALSE,"2020 / 21","70-120",3,1430,0.0020979020979021,371.25004,0.000111558299212845,123.750013333333,0.0531761226247894
"42","A - Upper middle class",FALSE,"2020 / 22","18-29",5,1045,0.00478468899521531,401.83808,0.000120749812616196,80.367616,0.0252367108367849
"43","A - Upper middle class",FALSE,"2020 / 22","30-39",7,1045,0.00669856459330144,371.80096,0.000111723847203634,53.1144228571429,0.0166787743325425
"44","A - Upper middle class",FALSE,"2020 / 22","40-49",6,1045,0.00574162679425837,344.17004,0.000103420929738935,57.3616733333333,0.0180124785961978
"45","A - Upper middle class",FALSE,"2020 / 22","50-59",4,1045,0.00382775119617225,366.9386,0.000110262738642513,91.73465,0.0288061404703565
"46","A - Upper middle class",FALSE,"2020 / 22","60-69",7,1045,0.00669856459330144,291.47108,8.75852241107666e-05,41.6387257142857,0.0130752227422502
"47","A - Upper middle class",FALSE,"2020 / 22","70-120",15,1045,0.0143540669856459,371.25004,0.000111558299212845,24.7500026666667,0.00777189484516153
"48","A - Upper middle class",FALSE,"2020 / 23","18-29",3,1363,0.00220102714600147,401.83808,0.000120749812616196,133.946026666667,0.0548606648652915
"49","A - Upper middle class",FALSE,"2020 / 23","30-39",7,1363,0.00513573000733676,371.80096,0.000111723847203634,53.1144228571429,0.0217542291055076
"50","A - Upper middle class",FALSE,"2020 / 23","40-49",10,1363,0.00733675715333822,344.17004,0.000103420929738935,34.417004,0.0140962727234168
"51","A - Upper middle class",FALSE,"2020 / 23","50-59",8,1363,0.00586940572267058,366.9386,0.000110262738642513,45.867325,0.0187860140962181
"52","A - Upper middle class",FALSE,"2020 / 23","60-69",10,1363,0.00733675715333822,291.47108,8.75852241107666e-05,29.147108,0.0119378660462975
"53","A - Upper middle class",FALSE,"2020 / 23","70-120",2,1363,0.00146735143066764,371.25004,0.000111558299212845,185.62502,0.0760269809135538
"54","A - Upper middle class",FALSE,"2020 / 24","18-29",4,1055,0.0037914691943128,401.83808,0.000120749812616196,100.45952,0.0318477630775216
"55","A - Upper middle class",FALSE,"2020 / 24","30-39",7,1055,0.00663507109004739,371.80096,0.000111723847203634,53.1144228571429,0.0168383798285477
"56","A - Upper middle class",FALSE,"2020 / 24","40-49",13,1055,0.0123222748815166,344.17004,0.000103420929738935,26.4746184615385,0.00839300622112126
"57","A - Upper middle class",FALSE,"2020 / 24","50-59",7,1055,0.00663507109004739,366.9386,0.000110262738642513,52.4198,0.0166181698954073
"58","A - Upper middle class",FALSE,"2020 / 24","60-69",10,1055,0.00947867298578199,291.47108,8.75852241107666e-05,29.147108,0.00924024114368587
"59","A - Upper middle class",FALSE,"2020 / 24","70-120",19,1055,0.0180094786729858,371.25004,0.000111558299212845,19.5394757894737,0.00619442135102902
"60","A - Upper middle class",FALSE,"2020 / 25","30-39",9,1327,0.00678221552373775,371.80096,0.000111723847203634,41.3112177777778,0.0164730605821358
"61","A - Upper middle class",FALSE,"2020 / 25","40-49",8,1327,0.00602863602110023,344.17004,0.000103420929738935,43.021255,0.0171549467204458
"62","A - Upper middle class",FALSE,"2020 / 25","50-59",8,1327,0.00602863602110023,366.9386,0.000110262738642513,45.867325,0.0182898317723268
"63","A - Upper middle class",FALSE,"2020 / 25","60-69",9,1327,0.00678221552373775,291.47108,8.75852241107666e-05,32.3856755555556,0.0129139547105541
"64","A - Upper middle class",FALSE,"2020 / 25","70-120",3,1327,0.00226073850791258,371.25004,0.000111558299212845,123.750013333333,0.0493459543518151
"65","A - Upper middle class",FALSE,"2020 / 26","18-29",3,1004,0.00298804780876494,401.83808,0.000120749812616196,133.946026666667,0.0404109372888868
"66","A - Upper middle class",FALSE,"2020 / 26","30-39",8,1004,0.00796812749003984,371.80096,0.000111723847203634,46.47512,0.0140213428240561
"67","A - Upper middle class",FALSE,"2020 / 26","40-49",10,1004,0.0099601593625498,344.17004,0.000103420929738935,34.417004,0.0103834613457891
"68","A - Upper middle class",FALSE,"2020 / 26","50-59",5,1004,0.0049800796812749,366.9386,0.000110262738642513,73.38772,0.0221407579194166
"69","A - Upper middle class",FALSE,"2020 / 26","60-69",11,1004,0.0109561752988048,291.47108,8.75852241107666e-05,26.4973709090909,0.0079941422733827
"70","A - Upper middle class",FALSE,"2020 / 26","70-120",16,1004,0.0159362549800797,371.25004,0.000111558299212845,23.2031275,0.00700028327560602
"71","A - Upper middle class",FALSE,"2020 / 27","18-29",2,1238,0.00161550888529887,401.83808,0.000120749812616196,200.91904,0.0747441340094251
"72","A - Upper middle class",FALSE,"2020 / 27","30-39",5,1238,0.00403877221324717,371.80096,0.000111723847203634,74.360192,0.0276628245676198
"73","A - Upper middle class",FALSE,"2020 / 27","40-49",9,1238,0.00726978998384491,344.17004,0.000103420929738935,38.2411155555556,0.0142261234463113
"74","A - Upper middle class",FALSE,"2020 / 27","50-59",7,1238,0.00565428109854604,366.9386,0.000110262738642513,52.4198,0.0195007529199187
"75","A - Upper middle class",FALSE,"2020 / 27","60-69",10,1238,0.00807754442649435,291.47108,8.75852241107666e-05,29.147108,0.0108430507449129
"76","A - Upper middle class",FALSE,"2020 / 27","70-120",3,1238,0.0024232633279483,371.25004,0.000111558299212845,123.750013333333,0.0460363914751673
"77","A - Upper middle class",FALSE,"2020 / 28","18-29",3,1018,0.00294695481335953,401.83808,0.000120749812616196,133.946026666667,0.040974436414429
"78","A - Upper middle class",FALSE,"2020 / 28","30-39",9,1018,0.00884086444007859,371.80096,0.000111723847203634,41.3112177777778,0.012637208494811
"79","A - Upper middle class",FALSE,"2020 / 28","40-49",7,1018,0.0068762278978389,344.17004,0.000103420929738935,49.1671485714286,0.015040358067748
"80","A - Upper middle class",FALSE,"2020 / 28","50-59",4,1018,0.00392927308447937,366.9386,0.000110262738642513,91.73465,0.0280618669845195
"81","A - Upper middle class",FALSE,"2020 / 28","60-69",2,1018,0.00196463654223969,291.47108,8.75852241107666e-05,145.73554,0.0445808790723802
"82","A - Upper middle class",FALSE,"2020 / 28","70-120",2,1018,0.00196463654223969,371.25004,0.000111558299212845,185.62502,0.0567831742993381
"83","A - Upper middle class",FALSE,"2020 / 29","30-39",4,892,0.00448430493273543,371.80096,0.000111723847203634,92.95024,0.0249144179264104
"84","A - Upper middle class",FALSE,"2020 / 29","40-49",2,892,0.00224215246636771,344.17004,0.000103420929738935,172.08502,0.046125734663565
"85","A - Upper middle class",FALSE,"2020 / 29","50-59",1,892,0.00112107623318386,366.9386,0.000110262738642513,366.9386,0.0983543628691214
"86","A - Upper middle class",FALSE,"2020 / 30","18-29",1,849,0.00117785630153121,401.83808,0.000120749812616196,401.83808,0.10251659091115
"87","A - Upper middle class",FALSE,"2020 / 30","30-39",7,849,0.00824499411071849,371.80096,0.000111723847203634,53.1144228571429,0.0135505066108407
