"","week","status","special","p_year","work","workplaces","mob2","scaling_fac","est_mob","est_mob2","est_scale"
"1","2020 / 16","Lockdown",NA,1,0.335568513119534,0.465,0.216225,0.27307813920955,0.75588939711083,0.351488569656536,0.443907247336029
"2","2020 / 17","Lockdown",NA,1,0.297121797121797,0.468571428571429,0.219559183673469,0.275675867731921,0.761694999239177,0.356908513929214,0.448130033242767
"3","2020 / 18","Lockdown",NA,1,0.222927557879014,0.454285714285714,0.206375510204082,0.265793378068761,0.738472590725787,0.335477548358286,0.432065368396659
"4","2020 / 19","Some restrictions",NA,1,0.291530944625407,0.564285714285714,0.318418367346939,0.376861370013976,0.917285136278887,0.517610898328801,0.612614008116615
"5","2020 / 19","Lockdown",NA,1,0.291530944625407,0.564285714285714,0.318418367346939,0.376861370013976,0.917285136278887,0.517610898328801,0.612614008116615
"6","2020 / 20","Some restrictions",NA,1,0.438202247191011,0.624285714285714,0.389732653061225,0.471325314845373,1.01481925203512,0.633537161627641,0.766171630282883
"7","2020 / 21","Some restrictions",NA,1,0.647105221643792,0.578571428571429,0.334744897959184,0.397183507897698,0.940507544792276,0.544150793772674,0.645649037262701
"8","2020 / 22","Some restrictions",NA,1,0.902220490845345,0.717142857142857,0.51429387755102,0.66466740698098,1.16576490737215,0.836019976429745,1.08046246353134
"9","2020 / 23","Some restrictions",NA,1,1.4395702775291,0.678571428571429,0.460459183673469,0.577400830249434,1.103064404386,0.748507988690502,0.938604656921585
"10","2020 / 24","Some restrictions",NA,1,1.29947113265756,0.787142857142857,0.61959387755102,0.848285050786744,1.27955470908776,1.00719234958194,1.37894553896198
"11","2020 / 25","Some restrictions",NA,1,1.27770562770563,0.785714285714286,0.61734693877551,0.844212360300716,1.27723246823642,1.00353979647148,1.37232510120692
"12","2020 / 26","Some restrictions",NA,1,1.29440559440559,0.785714285714286,0.61734693877551,0.844212360300716,1.27723246823642,1.00353979647148,1.37232510120692
"13","2020 / 27","Some restrictions",NA,1,1.3013431013431,0.762857142857143,0.581951020408163,0.780893198443752,1.240076614615,0.946001303149159,1.26939546017117
"14","2020 / 28","Some restrictions",NA,1,1.35518072289157,0.742857142857143,0.551836734693877,0.728336108606333,1.20756524269626,0.897048466002933,1.18396030543761
"15","2020 / 29","Some restrictions",NA,1,1.63600159299084,0.705714285714286,0.498032653061225,0.637780236667612,1.14718698056144,0.809586240567647,1.03675552383631
"16","2020 / 30","Some restrictions",NA,1,1.29501915708812,0.6,0.36,0.430208836854912,0.975341157562361,0.585204694537417,0.699333974886045
"17","2020 / 31","Some restrictions",NA,1,0.710282916213275,0.647142857142857,0.41879387755102,0.513602484444789,1.05197510565655,0.680778175517736,0.834896069508807
"18","2020 / 32","Some restrictions","Summer Hol",1,0.729991692052063,0.654285714285714,0.428089795918367,0.527525894141463,1.06358630991324,0.695889328486092,0.857529527060089
"19","2020 / 33","Some restrictions",NA,1,1.01481481481481,0.652857142857143,0.426222448979592,0.524714096232724,1.0612640690619,0.692853827944699,0.852958756681521
"20","2020 / 52","Some restrictions",NA,1,0.646408839779006,0.491428571428571,0.241502040816327,0.294307912010999,0.7988508528606,0.392578133405781,0.478417699300949
"21","2020 / 52","Some restrictions","Xmas",1,0.646408839779006,0.491428571428571,0.241502040816327,0.294307912010999,0.7988508528606,0.392578133405781,0.478417699300949
"22","2020 / 53","Some restrictions",NA,1,0.706923076923077,0.37,0.1369,0.235083966917096,0.601460380496789,0.222540340783812,0.382145114028787
"23","2020 / 53","Some restrictions","NYE",1,0.706923076923077,0.37,0.1369,0.235083966917096,0.601460380496789,0.222540340783812,0.382145114028787
"24","2021 / 01","Some restrictions",NA,1,0.964018353054818,0.762857142857143,0.581951020408163,0.780893198443751,1.240076614615,0.946001303149158,1.26939546017117
"25","2021 / 02","Some restrictions",NA,1,0.921154779233382,0.748571428571428,0.560359183673469,0.743081260294412,1.21685420610161,0.910902291424635,1.20792956096408
"26","2021 / 03","Some restrictions",NA,1,1.1729594669628,0.751428571428572,0.564644897959184,0.750535184046664,1.22149868780429,0.917869013978653,1.22004642533226
"27","2021 / 04","Some restrictions",NA,1,1.16978989210676,0.747142857142857,0.558222448979592,0.73937463539534,1.21453196525027,0.907428882608419,1.20190418793123
"28","2021 / 05","Some restrictions",NA,1,0.991983967935872,0.752857142857143,0.566793877551021,0.754282482899843,1.22382092865563,0.921362327716452,1.22613791666757
"29","2021 / 06","Some restrictions",NA,1,0.991983967935872,0.714285714285714,0.510204081632653,0.657864266494426,1.16112042566948,0.829371732621055,1.06940349200265
"30","2021 / 07","Some restrictions",NA,1,1.33708609271523,0.672857142857143,0.452736734693877,0.565313043562952,1.09377544098065,0.73595461814555,0.918955130489652
"31","2021 / 08","Some restrictions",NA,1,1.14771241830065,0.807142857142857,0.651479591836735,0.906726305984842,1.31206608100651,1.05902476538383,1.47394580811916
"32","2021 / 09","Some restrictions",NA,1,0.925705794947994,0.75,0.5625,0.746801443178187,1.21917644695295,0.914382335214713,1.21397697343109
