"","date","week"
"1",2020-03-23,"2020 / 13"
"2",2020-03-24,"2020 / 13"
"3",2020-03-25,"2020 / 13"
"4",2020-03-26,"2020 / 13"
"5",2020-03-27,"2020 / 13"
"6",2020-03-28,"2020 / 13"
"7",2020-03-29,"2020 / 13"
"8",2020-03-30,"2020 / 14"
"9",2020-03-31,"2020 / 14"
"10",2020-04-01,"2020 / 14"
"11",2020-04-02,"2020 / 14"
"12",2020-04-03,"2020 / 14"
"13",2020-04-04,"2020 / 14"
"14",2020-04-05,"2020 / 14"
"15",2020-04-06,"2020 / 15"
"16",2020-04-07,"2020 / 15"
"17",2020-04-08,"2020 / 15"
"18",2020-04-09,"2020 / 15"
"19",2020-04-10,"2020 / 15"
"20",2020-04-11,"2020 / 15"
"21",2020-04-12,"2020 / 15"
"22",2020-04-13,"2020 / 16"
"23",2020-04-14,"2020 / 16"
"24",2020-04-15,"2020 / 16"
"25",2020-04-16,"2020 / 16"
"26",2020-04-17,"2020 / 16"
"27",2020-04-18,"2020 / 16"
"28",2020-04-19,"2020 / 16"
"29",2020-04-20,"2020 / 17"
"30",2020-04-21,"2020 / 17"
"31",2020-04-22,"2020 / 17"
"32",2020-04-23,"2020 / 17"
"33",2020-04-24,"2020 / 17"
"34",2020-04-25,"2020 / 17"
"35",2020-04-26,"2020 / 17"
"36",2020-04-27,"2020 / 18"
"37",2020-04-28,"2020 / 18"
"38",2020-04-29,"2020 / 18"
"39",2020-04-30,"2020 / 18"
"40",2020-05-01,"2020 / 18"
"41",2020-05-02,"2020 / 18"
"42",2020-05-03,"2020 / 18"
"43",2020-05-13,"2020 / 20"
"44",2020-05-14,"2020 / 20"
"45",2020-05-15,"2020 / 20"
"46",2020-05-16,"2020 / 20"
"47",2020-05-17,"2020 / 20"
"48",2020-05-18,"2020 / 21"
"49",2020-05-19,"2020 / 21"
"50",2020-05-20,"2020 / 21"
"51",2020-05-21,"2020 / 21"
"52",2020-05-22,"2020 / 21"
"53",2020-05-23,"2020 / 21"
"54",2020-05-24,"2020 / 21"
"55",2020-05-25,"2020 / 22"
"56",2020-05-26,"2020 / 22"
"57",2020-05-27,"2020 / 22"
"58",2020-05-28,"2020 / 22"
"59",2020-05-29,"2020 / 22"
"60",2020-05-30,"2020 / 22"
"61",2020-05-31,"2020 / 22"
"62",2020-06-01,"2020 / 23"
"63",2020-06-02,"2020 / 23"
"64",2020-06-03,"2020 / 23"
"65",2020-06-04,"2020 / 23"
"66",2020-06-05,"2020 / 23"
"67",2020-06-06,"2020 / 23"
"68",2020-06-07,"2020 / 23"
"69",2020-06-08,"2020 / 24"
"70",2020-06-09,"2020 / 24"
"71",2020-06-10,"2020 / 24"
"72",2020-06-11,"2020 / 24"
"73",2020-06-12,"2020 / 24"
"74",2020-06-13,"2020 / 24"
"75",2020-06-14,"2020 / 24"
"76",2020-06-15,"2020 / 25"
"77",2020-06-16,"2020 / 25"
"78",2020-06-17,"2020 / 25"
"79",2020-06-18,"2020 / 25"
"80",2020-06-19,"2020 / 25"
"81",2020-06-20,"2020 / 25"
"82",2020-06-21,"2020 / 25"
"83",2020-06-22,"2020 / 26"
"84",2020-06-23,"2020 / 26"
"85",2020-06-24,"2020 / 26"
"86",2020-06-25,"2020 / 26"
"87",2020-06-26,"2020 / 26"
"88",2020-06-27,"2020 / 26"
"89",2020-06-28,"2020 / 26"
"90",2020-06-29,"2020 / 27"
"91",2020-06-30,"2020 / 27"
"92",2020-07-01,"2020 / 27"
"93",2020-07-02,"2020 / 27"
"94",2020-07-03,"2020 / 27"
"95",2020-07-04,"2020 / 27"
"96",2020-07-05,"2020 / 27"
"97",2020-07-06,"2020 / 28"
"98",2020-07-07,"2020 / 28"
"99",2020-07-08,"2020 / 28"
"100",2020-07-09,"2020 / 28"
"101",2020-07-10,"2020 / 28"
"102",2020-07-11,"2020 / 28"
"103",2020-07-12,"2020 / 28"
"104",2020-07-13,"2020 / 29"
"105",2020-07-14,"2020 / 29"
"106",2020-07-15,"2020 / 29"
"107",2020-07-16,"2020 / 29"
"108",2020-07-17,"2020 / 29"
"109",2020-07-18,"2020 / 29"
"110",2020-07-19,"2020 / 29"
"111",2020-07-20,"2020 / 30"
"112",2020-07-21,"2020 / 30"
"113",2020-07-22,"2020 / 30"
"114",2020-07-23,"2020 / 30"
"115",2020-07-24,"2020 / 30"
"116",2020-07-25,"2020 / 30"
"117",2020-07-26,"2020 / 30"
"118",2020-07-27,"2020 / 31"
"119",2020-07-28,"2020 / 31"
"120",2020-07-29,"2020 / 31"
"121",2020-07-30,"2020 / 31"
"122",2020-07-31,"2020 / 31"
"123",2020-08-01,"2020 / 31"
"124",2020-08-02,"2020 / 31"
"125",2020-08-03,"2020 / 32"
"126",2020-08-04,"2020 / 32"
"127",2020-08-05,"2020 / 32"
"128",2020-08-06,"2020 / 32"
"129",2020-08-07,"2020 / 32"
"130",2020-08-08,"2020 / 32"
"131",2020-08-09,"2020 / 32"
"132",2020-08-10,"2020 / 33"
"133",2020-08-11,"2020 / 33"
"134",2020-08-12,"2020 / 33"
"135",2020-08-13,"2020 / 33"
"136",2020-08-14,"2020 / 33"
"137",2020-08-15,"2020 / 33"
"138",2020-08-16,"2020 / 33"
"139",2020-08-17,"2020 / 34"
"140",2020-08-18,"2020 / 34"
"141",2020-08-19,"2020 / 34"
"142",2020-08-20,"2020 / 34"
"143",2020-08-21,"2020 / 34"
"144",2020-08-22,"2020 / 34"
"145",2020-08-23,"2020 / 34"
"146",2020-08-24,"2020 / 35"
"147",2020-08-25,"2020 / 35"
"148",2020-08-26,"2020 / 35"
"149",2020-08-27,"2020 / 35"
"150",2020-08-28,"2020 / 35"
"151",2020-08-29,"2020 / 35"
"152",2020-08-30,"2020 / 35"
"153",2020-08-31,"2020 / 36"
"154",2020-09-01,"2020 / 36"
"155",2020-09-02,"2020 / 36"
"156",2020-09-03,"2020 / 36"
"157",2020-09-04,"2020 / 36"
"158",2020-09-05,"2020 / 36"
"159",2020-09-06,"2020 / 36"
"160",2020-09-07,"2020 / 37"
"161",2020-09-08,"2020 / 37"
"162",2020-09-09,"2020 / 37"
"163",2020-09-10,"2020 / 37"
"164",2020-09-11,"2020 / 37"
"165",2020-09-12,"2020 / 37"
"166",2020-09-13,"2020 / 37"
"167",2020-09-14,"2020 / 38"
"168",2020-09-15,"2020 / 38"
"169",2020-09-16,"2020 / 38"
"170",2020-09-17,"2020 / 38"
"171",2020-09-18,"2020 / 38"
"172",2020-09-19,"2020 / 38"
"173",2020-09-20,"2020 / 38"
"174",2020-09-21,"2020 / 39"
"175",2020-09-22,"2020 / 39"
"176",2020-09-23,"2020 / 39"
"177",2020-09-24,"2020 / 39"
"178",2020-09-25,"2020 / 39"
"179",2020-09-26,"2020 / 39"
"180",2020-09-27,"2020 / 39"
"181",2020-09-28,"2020 / 40"
"182",2020-10-01,"2020 / 40"
"183",2020-10-02,"2020 / 40"
"184",2020-10-03,"2020 / 40"
"185",2020-10-04,"2020 / 40"
"186",2020-10-05,"2020 / 41"
"187",2020-10-06,"2020 / 41"
"188",2020-10-07,"2020 / 41"
"189",2020-10-08,"2020 / 41"
"190",2020-10-09,"2020 / 41"
"191",2020-10-10,"2020 / 41"
"192",2020-10-11,"2020 / 41"
"193",2020-10-12,"2020 / 42"
"194",2020-10-13,"2020 / 42"
"195",2020-10-14,"2020 / 42"
"196",2020-10-15,"2020 / 42"
"197",2020-10-16,"2020 / 42"
"198",2020-10-17,"2020 / 42"
"199",2020-10-18,"2020 / 42"
"200",2020-10-19,"2020 / 43"
"201",2020-10-20,"2020 / 43"
"202",2020-10-22,"2020 / 43"
"203",2020-10-23,"2020 / 43"
"204",2020-10-24,"2020 / 43"
"205",2020-10-25,"2020 / 43"
"206",2020-10-26,"2020 / 44"
"207",2020-10-27,"2020 / 44"
"208",2020-10-28,"2020 / 44"
"209",2020-10-29,"2020 / 44"
"210",2020-10-30,"2020 / 44"
"211",2020-10-31,"2020 / 44"
"212",2020-11-01,"2020 / 44"
"213",2020-11-02,"2020 / 45"
"214",2020-11-03,"2020 / 45"
"215",2020-11-04,"2020 / 45"
"216",2020-11-05,"2020 / 45"
"217",2020-11-06,"2020 / 45"
"218",2020-11-07,"2020 / 45"
"219",2020-11-08,"2020 / 45"
"220",2020-11-09,"2020 / 46"
"221",2020-11-10,"2020 / 46"
"222",2020-11-11,"2020 / 46"
"223",2020-11-12,"2020 / 46"
"224",2020-11-13,"2020 / 46"
"225",2020-11-14,"2020 / 46"
"226",2020-11-15,"2020 / 46"
"227",2020-11-16,"2020 / 47"
"228",2020-11-18,"2020 / 47"
"229",2020-11-19,"2020 / 47"
"230",2020-11-20,"2020 / 47"
"231",2020-11-21,"2020 / 47"
"232",2020-11-22,"2020 / 47"
"233",2020-11-23,"2020 / 48"
"234",2020-11-25,"2020 / 48"
"235",2020-11-26,"2020 / 48"
"236",2020-11-27,"2020 / 48"
"237",2020-11-28,"2020 / 48"
"238",2020-11-29,"2020 / 48"
"239",2020-11-30,"2020 / 49"
"240",2020-12-02,"2020 / 49"
"241",2020-12-03,"2020 / 49"
"242",2020-12-04,"2020 / 49"
"243",2020-12-05,"2020 / 49"
"244",2020-12-06,"2020 / 49"
"245",2020-12-07,"2020 / 50"
"246",2020-12-08,"2020 / 50"
"247",2020-12-09,"2020 / 50"
"248",2020-12-10,"2020 / 50"
"249",2020-12-11,"2020 / 50"
"250",2020-12-12,"2020 / 50"
"251",2020-12-13,"2020 / 50"
"252",2020-12-14,"2020 / 51"
"253",2020-12-15,"2020 / 51"
"254",2020-12-16,"2020 / 51"
"255",2020-12-17,"2020 / 51"
"256",2020-12-18,"2020 / 51"
"257",2020-12-19,"2020 / 51"
"258",2020-12-20,"2020 / 51"
"259",2020-12-21,"2020 / 52"
"260",2020-12-22,"2020 / 52"
"261",2020-12-23,"2020 / 52"
"262",2020-12-24,"2020 / 52"
"263",2020-12-25,"2020 / 52"
"264",2020-12-26,"2020 / 52"
"265",2020-12-27,"2020 / 52"
"266",2020-12-28,"2020 / 53"
"267",2020-12-29,"2020 / 53"
"268",2020-12-30,"2020 / 53"
"269",2020-12-31,"2020 / 53"
"270",2021-01-01,"2020 / 53"
"271",2021-01-02,"2020 / 53"
