"","characteristic","n_lock1","percent_lock1","n_all","percent_all"
"1",NA,NA,NA,450,0.205677616333545
"2","employed full-time (34 hours or more)",2669,37.2141662018963,78933,36.0772250890127
"3","employed part-time (less than 34 hours)",1111,15.4907975460123,30406,13.8974080049728
"4","full-time parent, homemaker",252,3.51366424986057,9447,4.31785875889556
"5","long-term sick or disabled",261,3.63915225878416,10516,4.80645736303013
"6","retired",1761,24.5538204127161,54437,24.8810497785538
"7","self employed",589,8.21249302844395,14338,6.55334591775638
"8","student/pupil",198,2.76073619631902,7320,3.34568922569233
"9","unemployed and not looking for a job",112,1.56162855549359,4315,1.97221980995388
"10","unemployed but looking for a job",219,3.05354155047407,8627,3.94306843579888
"11","Administrative associate professionals",263,3.6670384829894,4418,2.01929713102578
"12","Advertising and public relations department managers",25,0.348577802565533,236,0.107866483232704
"13","Agricultural, fishery and related labourers",66,0.920245398773006,472,0.215732966465407
"14","Architects, engineers and related professionals not elsewhere classified",68,0.948131622978249,1342,0.613376358043595
"15","Architects, town and traffic planners",7,0.0976017847183491,514,0.234929543989872
"16","Archivists, librarians and related information professionals",54,0.75292805354155,1973,0.901782082280188
"17","Armed forces",41,0.571667596207474,1660,0.758721873585966
"18","Artistic, entertainment and sports associate professionals",71,0.989960959286113,1605,0.733583498256311
"19","Blacksmiths, tool-makers and related trades workers",31,0.43223647518126,361,0.164999154436466
"20","Business professionals",247,3.44394868934746,8468,3.87039567802769
"21","Business services agents and trade brokers",21,0.292805354155047,393,0.179625118264629
"22","Cartographers and surveyors",7,0.0976017847183491,142,0.0649027144874742
"23","Chemical engineers",5,0.0697155605131065,154,0.0703874509230354
"24","Civil engineers",21,0.292805354155047,875,0.399928698426338
"25","Computer associate professionals",36,0.501952035694367,1191,0.544360091229449
"26","Computing professionals",124,1.72894590072504,4947,2.26108259556011
"27","Computing services department managers",29,0.404350250976018,1295,0.59189447367098
"28","Customer services clerks",352,4.9079754601227,12600,5.75897325733926
"29","Customs, tax and related government associate professionals",69,0.96207473508087,1769,0.808541562875647
"30","Directors and chief executives",213,2.96988287785834,4757,2.17424093533039
"31","Electrical and electronic equipment mechanics and fitters",45,0.627440044617959,892,0.407698741710049
"32","Electrical engineers",28,0.390407138873397,938,0.428723564713034
"33","Electronics and telecommunications engineers",27,0.376464026770775,955,0.436493607996746
"34","Extraction and building trades workers",130,1.81260457334077,2726,1.24594929361165
"35","Finance and administration department managers",99,1.38036809815951,3627,1.65776158764837
"36","Finance and sales associate professionals",92,1.28276631344116,2618,1.1965866656916
"37","Food processing and related trades workers",151,2.10540992749582,2564,1.17190535173158
"38","General managers in agriculture, hunting, forestry/ and fishing",2,0.0278862242052426,256,0.117007710625306
"39","General managers in construction",28,0.390407138873397,942,0.430551810191554
"40","General managers in manufacturing",26,0.362520914668154,929,0.424610012386363
"41","General managers in personal care, cleaning and related services",27,0.376464026770775,435,0.198821695789094
"42","General managers in transport, storage and communications",29,0.404350250976018,1016,0.464374351544182
"43","General managers in wholesale and retail trade",64,0.892359174567764,2873,1.31313731494728
"44","General managers not elsewhere classified",128,1.78471834913553,5440,2.48641385078775
"45","General managers of business services",42,0.585610708310095,1955,0.893554977626846
"46","General managers of restaurants and hotels",24,0.334634690462911,1341,0.612919296673964
"47","Handicraft workers in wood, textile, leather and related materials",32,0.446179587283882,539,0.246356078230624
"48","Health professionals (except nursing)",147,2.04963747908533,6469,2.95673000013712
"49","Housekeeping and restaurant services workers",107,1.49191299498048,2766,1.26423174839686
"50","Housewife",120,1.67317345231456,120,0.054847364355612
"51","Labourers in mining, construction, manufacturing and transport",175,2.44004461795873,3575,1.63399439642761
"52","Legal professionals",57,0.794757389849414,1970,0.900410898171297
"53","Legislators and senior officials",40,0.557724484104852,2200,1.00553501318622
"54","Life science and health associate professionals",44,0.613496932515337,299,0.1366613495194
"55","Life science professionals",45,0.627440044617959,2191,1.00142146085955
